UID          PID    PPID  C STIME TTY          TIME CMD
root        1110       1  0 18:03 ?        00:00:00 /usr/libexec/packagekitd
colord      1259       1  0 18:03 ?        00:00:00 /usr/libexec/colord
root        1325     692  0 18:03 ?        00:00:00 gdm-session-worker [pam/gdm-password]
vboxuser    1338       1  0 18:03 ?        00:00:00 /lib/systemd/systemd --user
vboxuser    1339    1338  0 18:03 ?        00:00:00 (sd-pam)
vboxuser    1345    1338  0 18:03 ?        00:00:00 /usr/bin/pipewire
vboxuser    1346    1338  0 18:03 ?        00:00:00 /usr/bin/pipewire-media-session
vboxuser    1347    1338  0 18:03 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
vboxuser    1348    1338  0 18:03 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
vboxuser    1356       1  0 18:03 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
vboxuser    1360    1338  0 18:03 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
vboxuser    1365    1338  0 18:03 ?        00:00:00 /usr/libexec/gvfsd
vboxuser    1372    1338  0 18:03 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
vboxuser    1373    1325  0 18:03 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
vboxuser    1382    1373  0 18:03 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
vboxuser    1389    1338  0 18:03 ?        00:00:00 /usr/libexec/xdg-document-portal
vboxuser    1393    1338  0 18:03 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1402    1389  0 18:03 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
vboxuser    1429    1338  0 18:03 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
vboxuser    1453    1338  0 18:03 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
vboxuser    1464    1338  0 18:03 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
vboxuser    1469    1338  0 18:03 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
vboxuser    1474    1338  0 18:03 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
vboxuser    1479    1338  0 18:03 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
vboxuser    1484    1338  0 18:03 ?        00:00:00 /usr/libexec/goa-daemon
vboxuser    1501    1338  0 18:03 ?        00:00:00 /usr/libexec/goa-identity-service
vboxuser    1504    1338  0 18:03 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
vboxuser    1510    1338  0 18:03 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
vboxuser    1520    1469  0 18:03 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
vboxuser    1524    1338  4 18:03 ?        00:00:20 /usr/bin/gnome-shell
vboxuser    1533    1520  0 18:03 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
vboxuser    1585    1348  0 18:03 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
vboxuser    1589    1338  0 18:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal
vboxuser    1593    1338  0 18:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
vboxuser    1595    1338  0 18:03 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
vboxuser    1604    1338  0 18:03 ?        00:00:00 /usr/libexec/evolution-source-registry
vboxuser    1614    1338  0 18:03 ?        00:00:00 /usr/libexec/evolution-calendar-factory
vboxuser    1621    1338  0 18:03 ?        00:00:00 /usr/libexec/dconf-service
vboxuser    1627    1338  0 18:03 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
vboxuser    1641    1365  0 18:03 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
vboxuser    1649    1338  0 18:03 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
vboxuser    1652    1338  0 18:03 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
vboxuser    1657    1338  0 18:03 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
vboxuser    1658    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-a11y-settings
vboxuser    1661    1657  0 18:03 ?        00:00:00 /usr/bin/ibus-daemon --panel disable
vboxuser    1662    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-color
vboxuser    1666    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-datetime
vboxuser    1670    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-housekeeping
vboxuser    1671    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-keyboard
vboxuser    1672    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-media-keys
vboxuser    1675    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-power
vboxuser    1676    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-print-notifications
vboxuser    1680    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-rfkill
vboxuser    1685    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
vboxuser    1694    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-sharing
vboxuser    1696    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-smartcard
vboxuser    1701    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-sound
vboxuser    1707    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-wacom
vboxuser    1718    1469  0 18:03 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
vboxuser    1728    1661  0 18:03 ?        00:00:00 /usr/libexec/ibus-memconf
vboxuser    1729    1661  0 18:03 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
vboxuser    1736    1469  0 18:03 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
vboxuser    1744    1338  0 18:03 ?        00:00:00 /usr/libexec/ibus-portal
vboxuser    1771    1338  0 18:03 ?        00:00:00 /usr/libexec/gsd-printer
vboxuser    1824    1661  0 18:03 ?        00:00:00 /usr/libexec/ibus-engine-simple
vboxuser    1841    1338  0 18:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
vboxuser    1856    1338  0 18:03 ?        00:00:02 /usr/libexec/gnome-initial-setup --existing-user
vboxuser    1875    1338  0 18:03 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
vboxuser    1899    1524  0 18:03 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:74:0:0
root        1922       1  0 18:04 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
vboxuser    1946    1338  0 18:04 ?        00:00:00 /usr/libexec/gvfsd-metadata
vboxuser    1996    1469  0 18:04 ?        00:00:00 update-notifier
vboxuser    2266    1524  0 18:07 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.I7HD51 -listen 4 -listen 5 -displayfd 6 -initfd 7
vboxuser    2269    1338  0 18:07 ?        00:00:00 /usr/libexec/gsd-xsettings
vboxuser    2298    1338  0 18:07 ?        00:00:00 /usr/libexec/ibus-x11
vboxuser    2352    1338  0 18:08 ?        00:00:01 /usr/libexec/gnome-terminal-server
vboxuser    2370    2352  0 18:08 pts/0    00:00:00 bash
root        2377       2  0 18:08 ?        00:00:00 [kworker/u2:1-events_power_efficient]
vboxuser    2410    1356  0 18:10 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
vboxuser    2654    2370  0 18:12 pts/0    00:00:00 ps -ef
